model,fold,heldout_task,cp_seed,alpha,eval_time,n_validation_success,regression_calibration_count,modulation_calibration_count,band_width,realized_fpr,catch_rate,tnr,balanced_accuracy,caught_alarm_fraction,effective_alarm_fraction,caught_lead_fraction,effective_lead_fraction,success_false_alarm_fraction,any_alarm_rate,roc_auc_max_score
mlp,3,3,1,0.05,by earliest stop,200,60,140,1.2003002714088196,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7255608974358975
mlp,3,3,1,0.05,fixed horizon 50,200,60,140,1.0000616117884675,0.10416666666666667,0.25,0.8958333333333334,0.5729166666666667,0.44307692307692315,0.8607692307692306,0.5569230769230769,0.13923076923076938,0.46799999999999997,0.18,0.5881410256410257
mlp,3,3,1,0.05,fixed horizon 100,200,60,140,1.0065748005403892,0.0625,0.19230769230769232,0.9375,0.5649038461538461,0.921,0.9848076923076923,0.07899999999999996,0.015192307692307727,0.92,0.13,0.6157852564102564
mlp,3,3,1,0.05,fixed horizon 148,200,60,140,1.0271698134785057,0.0625,0.1346153846153846,0.9375,0.5360576923076923,0.9333976833976834,0.9910343035343036,0.06660231660231664,0.008965696465696449,0.9256756756756758,0.1,0.7151442307692307
mlp,3,3,1,0.075,by final end,200,60,140,1.0888074355330308,0.1875,0.9807692307692307,0.8125,0.8966346153846154,0.7475867269984918,0.752440828402367,0.2524132730015082,0.24755917159763297,0.7418803418803419,0.6,0.9759615384615384
mlp,3,3,1,0.075,by earliest stop,200,60,140,1.0888074355330308,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7255608974358975
mlp,3,3,1,0.075,fixed horizon 50,200,60,140,1.000138954597462,0.125,0.3076923076923077,0.875,0.5913461538461539,0.4575,0.8330769230769233,0.5425,0.16692307692307673,0.43,0.22,0.5881410256410257
mlp,3,3,1,0.075,fixed horizon 100,200,60,140,1.0175761276970856,0.0625,0.19230769230769232,0.9375,0.5649038461538461,0.7889999999999999,0.9594230769230769,0.21100000000000008,0.040576923076923066,0.69,0.13,0.6157852564102564
mlp,3,3,1,0.075,fixed horizon 148,200,60,140,1.0185165355641441,0.0625,0.21153846153846154,0.9375,0.5745192307692307,0.7248157248157248,0.9417879417879417,0.27518427518427524,0.058212058212058326,0.6756756756756758,0.14,0.7151442307692307
mlp,3,3,1,0.1,by final end,200,60,140,1.584256776629971,0.1875,0.9807692307692307,0.8125,0.8966346153846154,0.6984917043740572,0.7042899408284022,0.30150829562594283,0.29571005917159776,0.6884615384615385,0.6,0.9759615384615384
mlp,3,3,1,0.1,by earliest stop,200,60,140,1.584256776629971,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7255608974358975
mlp,3,3,1,0.1,fixed horizon 50,200,60,140,1.0368655343838757,0.125,0.3076923076923077,0.875,0.5913461538461539,0.66,0.8953846153846153,0.33999999999999997,0.10461538461538467,0.66,0.22,0.5881410256410257
mlp,3,3,1,0.1,fixed horizon 100,200,60,140,1.0141793985810672,0.10416666666666667,0.23076923076923078,0.8958333333333334,0.563301282051282,0.7249999999999998,0.9365384615384614,0.27500000000000024,0.06346153846153857,0.69,0.17,0.6157852564102564
mlp,3,3,1,0.1,fixed horizon 148,200,60,140,1.0389746313610597,0.125,0.3269230769230769,0.875,0.6009615384615384,0.212241653418124,0.7424636174636176,0.787758346581876,0.25753638253638245,0.17567567567567569,0.23,0.7151442307692307
mlp,3,3,1,0.15,by final end,200,60,140,1.5002306344588172,0.3125,1.0,0.6875,0.84375,0.6114275147928994,0.6114275147928994,0.38857248520710064,0.38857248520710064,0.6185897435897435,0.67,0.9759615384615384
mlp,3,3,1,0.15,by earliest stop,200,60,140,1.5002306344588172,0.0,0.0,1.0,0.5,,1.0,,0.0,,0.0,0.7255608974358975
mlp,3,3,1,0.15,fixed horizon 50,200,60,140,1.0321518316345728,0.16666666666666666,0.40384615384615385,0.8333333333333334,0.6185897435897436,0.6714285714285715,0.8673076923076922,0.3285714285714285,0.13269230769230778,0.66,0.29,0.5881410256410257
mlp,3,3,1,0.15,fixed horizon 100,200,60,140,1.0311829838063693,0.16666666666666666,0.38461538461538464,0.8333333333333334,0.608974358974359,0.353,0.7511538461538462,0.647,0.24884615384615383,0.425,0.28,0.6157852564102564
